stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
E000D055,ROVIGO DEPOSITO,"",45.075950,11.782250,E000D055,0,
E0012001,STAZIONE FS MARC.1,"",45.076700,11.782080,E0012001,0,
E0012003,ROVIGOPREMIA,"",45.073080,11.783690,E0012003,0,
E0012004,UPIM,"",45.070970,11.787540,E0012004,0,
E0012005,B.N.L.,"",45.069960,11.789920,E0012005,0,
E0012006,P.TE RODA,"",45.068870,11.791790,E0012006,0,
E0012007,CATASTO,"",45.067220,11.793050,E0012007,0,
E0012008,PORTA PO,"",45.064500,11.793840,E0012008,0,
E0012009,P.ZZA S.BARTOLOMEO,"",45.064870,11.796200,E0012009,0,
E0012010,POLIZIA MUNICIPALE,"",45.067010,11.798980,E0012010,0,
E0012011,CIMITERO V.le Oroboni,"",45.070040,11.800920,E0012011,0,
E0012012,RESIDENCE PAOLA,"",45.072510,11.799550,E0012012,0,
E0012013,BAR MARCELLA,"",45.074600,11.800290,E0012013,0,
E0012014,CIRCOLO TENNIS,"",45.075400,11.802560,E0012014,0,
E0012015,STADIO CALCIO,"",45.075740,11.805040,E0012015,0,
E0012017,OSPEDALE CIVILE,"",45.074330,11.815200,E0012017,0,
E0012018,OSPEDALE CIVILE,"",45.074160,11.815590,E0012018,0,
E0012019,C.I.S.L.,"",45.076550,11.806090,E0012019,0,
E0012020,"VIA G. PIVA, 41","",45.077680,11.805560,E0012020,0,
E0012021,"VIA G.PIVA, 27","",45.077110,11.802910,E0012021,0,
E0012022,"VIA G. PIVA, 26","",45.076230,11.799920,E0012022,0,
E0012023,VENETO BANCA via della Costituzione,"",45.076700,11.797980,E0012023,0,
E0012024,SCUOLA MEDIA N° 3,"",45.078410,11.797940,E0012024,0,
E0012026,"I.T.I.S.""F. VIOLA""","",45.080860,11.796790,E0012026,0,
E0012027,I.P.C.,"",45.080800,11.794130,E0012027,0,
E0012028,PIAZZA EUROPA,"",45.079400,11.792060,E0012028,0,
E0012029,EDICOLA,"",45.079320,11.790570,E0012029,0,
E0012030,CASA SERENA  Via Bramante,"",45.081550,11.788240,E0012030,0,
E0012032,"VIA T. TASSO, 11","",45.080450,11.787240,E0012032,0,
E0012033,VIA T. TASSO EX - PISCINA,"",45.079060,11.787340,E0012033,0,
E0012034,GIARDINETTI,"",45.077290,11.787500,E0012034,0,
