route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
E502,0ANN0FER2010010120991231000002,1562,P.LE APPIOTTI INTERNO,120,1,,ZZE50215072
E505,0ANN0FER2010010120991231000002,1565,P.LE APPIOTTI INTERNO,100,1,,ZZE50515482
E503,0ANN0FER2017091320991231000002,188493,STAZIONE FS MARC.1,150,1,,ZZE50305222
E507,SCOLFESA2017091320991231000002,188503,SAN CASSIANO R,220,1,,ZZE50725642
E507,NSCO0FNS2017091320991231000002,188504,SAN CASSIANO R,230,1,,ZZE50705652
E507,0INV0FER2017091320991231000002,188505,P.LE APPIOTTI ESTERNO,190,0,,ZZE507Z5631
E507,0ANN0FER2017091320991231000002,188509,SAN CASSIANO R,260,1,,ZZE50705662
E507,0ANN0FER2017091320991231000002,188511,P.LE APPIOTTI ESTERNO,220,0,,ZZE507Z5631
E508,0ANN0FER2017091320991231000002,188514,PONTE MERLO,150,1,,ZZE50805822
E508,0ANN0FER2017091320991231000002,188516,P.LE APPIOTTI INTERNO,170,0,,ZZE50805701
E505,0ANN0FER2017091320201126000002,188527,STAZIONE FS MARC.4,10,1,,ZZE50505522
E505,0INV0FER2017091320201126000002,188530,STAZIONE FS MARC.4,130,1,,ZZE50505522
E505,0ANN0FER2017091320991231000002,188531,P.LE APPIOTTI INTERNO,140,1,,ZZE50505482
E508,0ANN0FER2017091320991231000002,188880,PONTE MERLO,10,1,,ZZE50805822
E508,0ANN0FER2017091320991231000002,188881,PONTE MERLO,20,1,,ZZE50805822
E508,0INV0FER2017091320991231000002,188889,PONTE MERLO,110,1,,ZZE50805792
E508,0ANN0FER2017091320991231000002,188891,PONTE MERLO,130,1,,ZZE50805822
E508,0ANN0FER2017091320991231000002,188893,P.LE APPIOTTI INTERNO,10,0,,ZZE50805701
E508,0INV0FER2017091320991231000002,188908,P.LE APPIOTTI INTERNO,130,0,,ZZE50805701
E508,0ANN0FER2017091320991231000002,188910,P.LE APPIOTTI INTERNO,150,0,,ZZE50805701
E509,0ANN0FER2018031920991231000002,192177,P.LE APPIOTTI INTERNO,20,1,,ZZE509Z5862
E509,0ANN0FER2018031920991231000002,192185,P.LE APPIOTTI INTERNO,100,1,,ZZE509Z5862
